datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2024-04-01 14:28:00,2024-04-01 14:28:00,2024-04-01 14:28:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260034,0.0,5.0,400,2.72,17754685260035,5.0
2024-04-02 09:42:00,2024-04-02 09:42:00,2024-04-02 09:42:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260035,0.0,5.0,300,2.69,17754685260036,5.0
2024-04-02 09:47:00,2024-04-02 09:47:00,2024-04-02 09:47:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260036,0.0,5.0,300,2.69,17754685260037,5.0
2024-04-02 09:52:00,2024-04-02 09:52:00,2024-04-02 09:52:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260037,0.0,5.0,300,2.68,17754685260038,5.0
2024-04-02 09:55:00,2024-04-02 09:55:00,2024-04-02 09:55:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260038,0.0,5.0,300,2.68,17754685260039,5.0
2024-04-02 13:01:00,2024-04-02 13:01:00,2024-04-02 13:01:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260039,0.0,5.0,200,2.68,17754685260040,5.0
2024-04-02 13:28:00,2024-04-02 13:28:00,2024-04-02 13:28:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260040,0.0,5.0,200,2.69,17754685260042,5.0
2024-04-02 13:59:00,2024-04-02 13:59:00,2024-04-02 13:59:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260041,0.0,5.0,300,2.69,17754685260044,5.0
2024-04-02 14:04:00,2024-04-02 14:04:00,2024-04-02 14:04:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260042,0.0,5.0,300,2.69,17754685260045,5.0
2024-04-02 14:08:00,2024-04-02 14:08:00,2024-04-02 14:08:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260043,0.0,5.0,400,2.69,17754685260046,5.0
2024-04-02 14:28:00,2024-04-02 14:28:00,2024-04-02 14:28:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260044,0.0,5.0,400,2.69,17754685260047,5.0
2024-04-03 09:37:00,2024-04-03 09:37:00,2024-04-03 09:37:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260045,0.0,5.0,100,15.91,17754685260048,5.0
2024-04-03 09:40:00,2024-04-03 09:40:00,2024-04-03 09:40:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260046,0.0,5.0,100,15.87,17754685260049,5.0
2024-04-03 09:45:00,2024-04-03 09:45:00,2024-04-03 09:45:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260047,0.0,5.0,300,2.68,17754685260050,5.0
2024-04-03 09:49:00,2024-04-03 09:49:00,2024-04-03 09:49:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260048,0.0,5.0,100,41.07,17754685260051,5.0
2024-04-03 09:49:00,2024-04-03 09:49:00,2024-04-03 09:49:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260049,0.0,5.0,100,46.15,17754685260052,5.0
2024-04-03 09:52:00,2024-04-03 09:52:00,2024-04-03 09:52:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260050,0.0,5.0,300,2.67,17754685260053,5.0
2024-04-03 09:52:00,2024-04-03 09:52:00,2024-04-03 09:52:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260051,0.0,5.0,100,15.89,17754685260054,5.0
2024-04-03 10:13:00,2024-04-03 10:13:00,2024-04-03 10:13:00,600030.XSHG,中信证券,BUY,OPEN,17754685260052,0.0,5.0,100,19.13,17754685260055,5.0
2024-04-03 10:27:00,2024-04-03 10:27:00,2024-04-03 10:27:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260053,0.0,5.0,300,2.67,17754685260056,5.0
2024-04-03 10:27:00,2024-04-03 10:27:00,2024-04-03 10:27:00,600030.XSHG,中信证券,BUY,OPEN,17754685260054,0.0,5.0,100,19.16,17754685260057,5.0
2024-04-03 10:33:00,2024-04-03 10:33:00,2024-04-03 10:33:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260055,0.0,5.0,300,2.67,17754685260058,5.0
2024-04-03 13:02:00,2024-04-03 13:02:00,2024-04-03 13:02:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260056,0.0,5.0,200,2.69,17754685260060,5.0
2024-04-03 13:10:00,2024-04-03 13:10:00,2024-04-03 13:10:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260057,0.0,5.0,200,2.67,17754685260061,5.0
2024-04-03 13:13:00,2024-04-03 13:13:00,2024-04-03 13:13:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260058,0.0,5.0,200,2.67,17754685260062,5.0
2024-04-03 13:15:00,2024-04-03 13:15:00,2024-04-03 13:15:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260059,0.0,5.0,200,2.67,17754685260063,5.0
2024-04-03 13:23:00,2024-04-03 13:23:00,2024-04-03 13:23:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260060,0.0,5.0,200,2.67,17754685260064,5.0
2024-04-03 13:29:00,2024-04-03 13:29:00,2024-04-03 13:29:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260061,0.0,5.0,200,2.67,17754685260065,5.0
2024-04-03 13:33:00,2024-04-03 13:33:00,2024-04-03 13:33:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260062,0.0,5.0,100,15.8,17754685260066,5.0
2024-04-08 09:40:00,2024-04-08 09:40:00,2024-04-08 09:40:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260063,0.0,5.0,100,44.24,17754685260067,5.0
2024-04-08 09:41:00,2024-04-08 09:41:00,2024-04-08 09:41:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260064,0.0,5.0,100,40.81,17754685260068,5.0
2024-04-08 13:14:00,2024-04-08 13:14:00,2024-04-08 13:14:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260065,0.0,5.0,200,2.72,17754685260069,5.0
2024-04-08 13:39:00,2024-04-08 13:39:00,2024-04-08 13:39:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260066,0.0,5.0,100,44.02,17754685260070,5.0
2024-04-09 09:38:00,2024-04-09 09:38:00,2024-04-09 09:38:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260067,0.0,5.0,100,40.84,17754685260071,5.0
2024-04-09 09:49:00,2024-04-09 09:49:00,2024-04-09 09:49:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260068,0.0,5.0,100,44.45,17754685260072,5.0
2024-04-09 09:58:00,2024-04-09 09:58:00,2024-04-09 09:58:00,600030.XSHG,中信证券,BUY,OPEN,17754685260069,0.0,5.0,100,18.92,17754685260073,5.0
2024-04-09 09:58:00,2024-04-09 09:58:00,2024-04-09 09:58:00,300122.XSHE,智飞生物,SELL,CLOSE,17754685260070,2.2595,5.0,100,45.19,17754685260074,7.2595
2024-04-09 10:04:00,2024-04-09 10:04:00,2024-04-09 10:04:00,600030.XSHG,中信证券,BUY,OPEN,17754685260071,0.0,5.0,100,18.9,17754685260075,5.0
2024-04-09 10:53:00,2024-04-09 10:53:00,2024-04-09 10:53:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260072,0.0,5.0,200,2.68,17754685260076,5.0
2024-04-10 09:40:00,2024-04-10 09:40:00,2024-04-10 09:40:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260073,0.0,5.0,300,2.66,17754685260078,5.0
2024-04-10 09:53:00,2024-04-10 09:53:00,2024-04-10 09:53:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260074,0.0,5.0,100,42.23,17754685260079,5.0
2024-04-10 14:34:00,2024-04-10 14:34:00,2024-04-10 14:34:00,600030.XSHG,中信证券,BUY,OPEN,17754685260075,0.0,5.0,100,18.41,17754685260080,5.0
2024-04-10 14:48:00,2024-04-10 14:48:00,2024-04-10 14:48:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260076,0.0,5.0,100,14.97,17754685260081,5.0
2024-04-11 10:09:00,2024-04-11 10:09:00,2024-04-11 10:09:00,601318.XSHG,中国平安,BUY,OPEN,17754685260077,0.0,5.0,100,38.67,17754685260082,5.0
2024-04-11 10:58:00,2024-04-11 10:58:00,2024-04-11 10:58:00,600030.XSHG,中信证券,BUY,OPEN,17754685260078,0.0,5.0,100,18.37,17754685260083,5.0
2024-04-11 13:38:00,2024-04-11 13:38:00,2024-04-11 13:38:00,601318.XSHG,中国平安,BUY,OPEN,17754685260079,0.0,5.0,100,38.86,17754685260084,5.0
2024-04-11 13:44:00,2024-04-11 13:44:00,2024-04-11 13:44:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260080,0.0,5.0,200,2.61,17754685260085,5.0
2024-04-11 13:47:00,2024-04-11 13:47:00,2024-04-11 13:47:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260081,0.0,5.0,100,14.84,17754685260086,5.0
2024-04-12 09:42:00,2024-04-12 09:42:00,2024-04-12 09:42:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260082,0.0,5.0,300,2.58,17754685260088,5.0
2024-04-12 09:44:00,2024-04-12 09:44:00,2024-04-12 09:44:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260083,0.0,5.0,100,41.44,17754685260089,5.0
2024-04-12 09:50:00,2024-04-12 09:50:00,2024-04-12 09:50:00,601318.XSHG,中国平安,BUY,OPEN,17754685260084,0.0,5.0,100,37.78,17754685260090,5.0
2024-04-12 09:54:00,2024-04-12 09:54:00,2024-04-12 09:54:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260085,0.0,5.0,300,2.58,17754685260091,5.0
2024-04-12 11:23:00,2024-04-12 11:23:00,2024-04-12 11:23:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260086,0.0,5.0,200,2.56,17754685260092,5.0
2024-04-12 13:03:00,2024-04-12 13:03:00,2024-04-12 13:03:00,601318.XSHG,中国平安,BUY,OPEN,17754685260087,0.0,5.0,100,37.69,17754685260093,5.0
2024-04-12 13:31:00,2024-04-12 13:31:00,2024-04-12 13:31:00,600030.XSHG,中信证券,BUY,OPEN,17754685260088,0.0,5.0,100,18.2,17754685260094,5.0
2024-04-12 14:44:00,2024-04-12 14:44:00,2024-04-12 14:44:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260089,0.0,5.0,100,14.38,17754685260095,5.0
