date,count,mean,std,min,25%,50%,75%,max
2024-03-28,4.0,0.25,0.1597120548048919,0.09556094422724798,0.13575741079823822,0.2281882515959816,0.34243084079774333,0.4480625525807888
2024-03-29,4.0,0.25,0.11383820959211394,0.17933310501572278,0.18848656558423363,0.20045767302842554,0.26197110744419194,0.4197515489274261
2024-04-01,5.0,0.19999999999999998,0.07679111954878326,0.08724510029012127,0.1766400200371522,0.20099768320427458,0.24307570286573021,0.2920414936027217
2024-04-02,5.0,0.19999999999999998,0.08473514088085252,0.07369180801154818,0.17105738000721762,0.20905810176831469,0.2490075784915193,0.2971851317214002
2024-04-03,5.0,0.2,0.06573401302553596,0.1030076126294771,0.19128915512292524,0.19543242231374017,0.22598277798577313,0.2842880319480844
2024-04-08,5.0,0.2,0.06612600390604358,0.13287632539544586,0.16306709542847211,0.16443594646271512,0.25235746567008516,0.28726316704328175
2024-04-09,5.0,0.19999999999999998,0.048611076168825144,0.15093487312436168,0.163209992929531,0.18589441432948386,0.23422892607431847,0.265731793542305
2024-04-10,5.0,0.2,0.03483460367945397,0.1524098840440114,0.18755788537769053,0.19407809432074982,0.22239099025673323,0.24356314600081502
2024-04-11,6.0,0.16666666666666666,0.05427751953971593,0.06627418284528083,0.1563781456840959,0.18141600449201134,0.20155348726412686,0.21459563390107367
2024-04-12,6.0,0.16666666666666666,0.031662994453831896,0.1143332702856062,0.15055608095328163,0.18114620767921316,0.18611689048609797,0.19524115755627008
2024-04-15,6.0,0.16666666666666666,0.02732498268757113,0.1307652974262826,0.14422703255496847,0.17557184250894836,0.18469405147434803,0.19657746718936425
2024-04-16,6.0,0.16666666666666666,0.029191635047300973,0.1221494008607604,0.15206171759201387,0.16690775101047078,0.18987029067033354,0.19939758677548203
2024-04-17,6.0,0.16666666666666666,0.03176854756094627,0.12849698764538992,0.14562021725124055,0.15986955882851622,0.19469390407939505,0.20459143880907438
2024-04-18,6.0,0.16666666666666666,0.0331197564445067,0.1307015462917035,0.1377078436024068,0.16499708857210638,0.19463569410597598,0.20617761866764434
2024-04-19,6.0,0.16666666666666666,0.03332548610824131,0.12349159864581385,0.13843282032109996,0.17975678650798596,0.19092311047417285,0.19769144494984112
