date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2024-10-24,000069.XSHE,华侨城A,10500.0,2.7,2.5819,28350.0
2024-10-24,600085.XSHG,同仁堂,100.0,39.4,40.9513,3940.0
2024-10-24,000895.XSHE,双汇发展,600.0,24.72,23.4029,14832.0
2024-10-24,600535.XSHG,天士力,900.0,15.14,13.1912,13626.0
2024-10-24,600887.XSHG,伊利股份,800.0,26.52,23.1709,21216.0
2024-10-24,600016.XSHG,民生银行,4900.0,3.91,3.4737,19159.0
2024-10-24,000725.XSHE,京东方A,3700.0,4.25,3.8136,15725.0
2024-10-24,002033.XSHE,丽江股份,1000.0,8.84,8.6477,8840.0
2024-10-24,600111.XSHG,北方稀土,700.0,20.02,16.719,14014.0
2024-10-24,600138.XSHG,中青旅,900.0,10.15,9.7342,9135.0
2024-10-25,300142.XSHE,沃森生物,200.0,15.6,14.9639,3120.0
2024-10-25,300122.XSHE,智飞生物,200.0,32.27,44.0614,6454.0
2024-10-25,000069.XSHE,华侨城A,10500.0,2.75,2.5819,28875.0
2024-10-25,600085.XSHG,同仁堂,100.0,39.05,40.9513,3905.0
2024-10-25,000895.XSHE,双汇发展,600.0,24.56,23.4029,14736.0
2024-10-25,600535.XSHG,天士力,900.0,15.24,13.1912,13716.0
2024-10-25,600887.XSHG,伊利股份,800.0,26.68,23.1709,21344.0
2024-10-25,600016.XSHG,民生银行,4900.0,3.89,3.4737,19061.0
2024-10-25,000725.XSHE,京东方A,3700.0,4.37,3.8136,16169.0
2024-10-25,002033.XSHE,丽江股份,1000.0,8.86,8.6477,8860.0
2024-10-25,600111.XSHG,北方稀土,700.0,21.16,16.719,14812.0
2024-10-25,600138.XSHG,中青旅,900.0,10.2,9.7342,9180.0
2024-10-28,300142.XSHE,沃森生物,200.0,15.83,14.9639,3166.0
2024-10-28,300122.XSHE,智飞生物,200.0,30.46,44.0614,6092.0
2024-10-28,000069.XSHE,华侨城A,10500.0,2.84,2.5819,29820.0
2024-10-28,600085.XSHG,同仁堂,100.0,39.35,40.9513,3935.0
2024-10-28,000895.XSHE,双汇发展,600.0,24.45,23.4029,14670.0
2024-10-28,600535.XSHG,天士力,900.0,15.07,13.1912,13563.0
2024-10-28,600887.XSHG,伊利股份,800.0,27.12,23.1709,21696.0
2024-10-28,600016.XSHG,民生银行,4900.0,3.88,3.4737,19012.0
2024-10-28,000725.XSHE,京东方A,3700.0,4.35,3.8136,16095.0
2024-10-28,002033.XSHE,丽江股份,900.0,8.96,8.6477,8064.0
2024-10-28,600111.XSHG,北方稀土,700.0,21.33,16.719,14931.0
2024-10-28,600138.XSHG,中青旅,900.0,10.37,9.7342,9333.0
2024-10-29,300142.XSHE,沃森生物,200.0,15.1,14.9639,3020.0
2024-10-29,300122.XSHE,智飞生物,200.0,29.26,44.0614,5852.0
2024-10-29,000069.XSHE,华侨城A,10500.0,2.8,2.5819,29400.0
2024-10-29,600085.XSHG,同仁堂,100.0,39.03,40.9513,3903.0
2024-10-29,000895.XSHE,双汇发展,900.0,24.3,23.6919,21870.0
2024-10-29,600535.XSHG,天士力,900.0,14.83,13.1912,13347.0
2024-10-29,600887.XSHG,伊利股份,800.0,26.52,23.1709,21216.0
2024-10-29,600016.XSHG,民生银行,4900.0,3.85,3.4737,18865.0
2024-10-29,000725.XSHE,京东方A,3700.0,4.31,3.8136,15947.0
2024-10-29,002033.XSHE,丽江股份,800.0,8.82,8.6477,7056.0
