dt,trade_date,order_book_id,event_type,quantity,price,cash_value,realized_pnl,layer,batch_id,sub_id,pending_id,stage,source,note
2024-03-28 15:30:00,2024-03-28,300142.XSHE,carryover_batch_created,400,15.515,6206.0,0.0,,300142.XSHE-B00020,,,,day0,pending forward buys merged into new batch
2024-03-28 15:30:00,2024-03-28,600030.XSHG,carryover_batch_created,100,19.4,1939.9999999999998,0.0,,600030.XSHG-B00025,,,,day0,pending forward buys merged into new batch
2024-03-29 09:40:00,2024-03-29,000069.XSHE,buy_attempt_fill,300,2.7,810.0,0.0,,,,000069.XSHE-FTB-00014,,day1_plus,
2024-03-29 09:54:00,2024-03-29,000069.XSHE,buy_attempt_fill,300,2.7,810.0,0.0,,,,000069.XSHE-FTB-00015,,day1_plus,
2024-03-29 09:54:00,2024-03-29,600030.XSHG,buy_attempt_fill,100,19.1,1910.0000000000002,0.0,,,,600030.XSHG-FTB-00016,,day1_plus,
2024-03-29 10:18:00,2024-03-29,600030.XSHG,buy_attempt_fill,100,19.11,1911.0,0.0,,,,600030.XSHG-FTB-00017,,day1_plus,
2024-03-29 10:24:00,2024-03-29,000069.XSHE,buy_attempt_fill,300,2.7,810.0,0.0,,,,000069.XSHE-FTB-00018,,day1_plus,
2024-03-29 11:01:00,2024-03-29,000069.XSHE,buy_attempt_fill,300,2.7,810.0,0.0,,,,000069.XSHE-FTB-00019,,day1_plus,
2024-03-29 13:13:00,2024-03-29,000069.XSHE,buy_attempt_fill,200,2.69,538.0,0.0,,,,000069.XSHE-FTB-00020,,day1_plus,
2024-03-29 14:40:00,2024-03-29,300122.XSHE,buy_attempt_fill,100,44.95,4495.0,0.0,,,,300122.XSHE-FTB-00021,,day1_plus,
2024-03-29 15:30:00,2024-03-29,000069.XSHE,carryover_batch_created,1400,2.6985714285714284,3777.9999999999995,0.0,,000069.XSHE-B00038,,,,day1_plus,pending forward buys merged into new batch
2024-03-29 15:30:00,2024-03-29,300122.XSHE,carryover_batch_created,100,44.95,4495.0,0.0,,300122.XSHE-B00047,,,,day1_plus,pending forward buys merged into new batch
2024-03-29 15:30:00,2024-03-29,600030.XSHG,carryover_batch_created,200,19.105,3821.0,0.0,,600030.XSHG-B00053,,,,day1_plus,pending forward buys merged into new batch
2024-04-01 09:39:00,2024-04-01,000069.XSHE,buy_attempt_fill,300,2.69,807.0,0.0,,,,000069.XSHE-FTB-00022,,day1_plus,
2024-04-01 09:39:00,2024-04-01,300142.XSHE,buy_attempt_fill,100,15.4,1540.0,0.0,,,,300142.XSHE-FTB-00023,,day1_plus,
2024-04-01 09:44:00,2024-04-01,600030.XSHG,buy_attempt_fill,100,19.35,1935.0000000000002,0.0,,,,600030.XSHG-FTB-00024,,day1_plus,
2024-04-01 09:50:00,2024-04-01,300142.XSHE,forward_t_success,100,15.71,1571.0,25.21450000000005,,,,300142.XSHE-FTB-00023,,day1_plus,buy_avg=15.4000
2024-04-01 09:52:00,2024-04-01,600030.XSHG,buy_attempt_fill,100,19.39,1939.0,0.0,,,,600030.XSHG-FTB-00025,,day1_plus,
2024-04-01 09:59:00,2024-04-01,600085.XSHG,buy_attempt_fill,100,41.38,4138.0,0.0,,,,600085.XSHG-FTB-00026,,day0,
2024-04-01 10:04:00,2024-04-01,300142.XSHE,buy_attempt_fill,100,15.66,1566.0,0.0,,,,300142.XSHE-FTB-00027,,day1_plus,
2024-04-01 10:13:00,2024-04-01,300142.XSHE,buy_attempt_fill,100,15.68,1568.0,0.0,,,,300142.XSHE-FTB-00028,,day1_plus,
2024-04-01 11:14:00,2024-04-01,300142.XSHE,forward_t_success,100,15.93,1593.0,21.203499999999956,,,,300142.XSHE-FTB-00027,,day1_plus,buy_avg=15.6600
2024-04-01 11:29:00,2024-04-01,000069.XSHE,forward_t_success,200,2.74,548.0,4.726000000000053,,,,000069.XSHE-FTB-00022,,day1_plus,buy_avg=2.6900
2024-04-01 13:01:00,2024-04-01,600030.XSHG,buy_attempt_fill,100,19.3,1930.0,0.0,,,,600030.XSHG-FTB-00029,,day1_plus,
2024-04-01 13:02:00,2024-04-01,300142.XSHE,buy_attempt_fill,100,16.02,1602.0,0.0,,,,300142.XSHE-FTB-00030,,day1_plus,
2024-04-01 13:05:00,2024-04-01,000069.XSHE,forward_t_success,100,2.75,275.0,0.8625000000000052,,,,000069.XSHE-FTB-00022,,day1_plus,buy_avg=2.6900
2024-04-01 13:19:00,2024-04-01,000069.XSHE,buy_attempt_fill,200,2.74,548.0,0.0,,,,000069.XSHE-FTB-00031,,day1_plus,
2024-04-01 14:28:00,2024-04-01,000069.XSHE,buy_attempt_fill,400,2.72,1088.0,0.0,,,,000069.XSHE-FTB-00032,,day1_plus,
2024-04-01 15:30:00,2024-04-01,000069.XSHE,carryover_batch_created,600,2.7266666666666666,1636.0,0.0,,000069.XSHE-B00066,,,,day1_plus,pending forward buys merged into new batch
2024-04-01 15:30:00,2024-04-01,600085.XSHG,carryover_batch_created,100,41.38,4138.0,0.0,,600085.XSHG-B00071,,,,day0,pending forward buys merged into new batch
2024-04-01 15:30:00,2024-04-01,300142.XSHE,carryover_batch_created,200,15.85,3170.0,0.0,,300142.XSHE-B00076,,,,day1_plus,pending forward buys merged into new batch
2024-04-01 15:30:00,2024-04-01,600030.XSHG,carryover_batch_created,300,19.346666666666668,5804.0,0.0,,600030.XSHG-B00081,,,,day1_plus,pending forward buys merged into new batch
2024-04-02 09:42:00,2024-04-02,000069.XSHE,buy_attempt_fill,300,2.69,807.0,0.0,,,,000069.XSHE-FTB-00033,,day1_plus,
2024-04-02 09:47:00,2024-04-02,000069.XSHE,buy_attempt_fill,300,2.69,807.0,0.0,,,,000069.XSHE-FTB-00034,,day1_plus,
2024-04-02 09:52:00,2024-04-02,000069.XSHE,buy_attempt_fill,300,2.68,804.0,0.0,,,,000069.XSHE-FTB-00035,,day1_plus,
2024-04-02 09:55:00,2024-04-02,000069.XSHE,buy_attempt_fill,300,2.68,804.0,0.0,,,,000069.XSHE-FTB-00036,,day1_plus,
2024-04-02 13:01:00,2024-04-02,000069.XSHE,buy_attempt_fill,200,2.68,536.0,0.0,,,,000069.XSHE-FTB-00037,,day1_plus,
2024-04-02 13:28:00,2024-04-02,000069.XSHE,buy_attempt_fill,200,2.69,538.0,0.0,,,,000069.XSHE-FTB-00039,,day1_plus,
2024-04-02 13:59:00,2024-04-02,000069.XSHE,buy_attempt_fill,300,2.69,807.0,0.0,,,,000069.XSHE-FTB-00041,,day1_plus,
2024-04-02 14:04:00,2024-04-02,000069.XSHE,buy_attempt_fill,300,2.69,807.0,0.0,,,,000069.XSHE-FTB-00042,,day1_plus,
2024-04-02 14:08:00,2024-04-02,000069.XSHE,buy_attempt_fill,400,2.69,1076.0,0.0,,,,000069.XSHE-FTB-00043,,day1_plus,
2024-04-02 14:28:00,2024-04-02,000069.XSHE,buy_attempt_fill,400,2.69,1076.0,0.0,,,,000069.XSHE-FTB-00044,,day1_plus,
2024-04-02 15:30:00,2024-04-02,000069.XSHE,carryover_batch_created,3000,2.687333333333333,8061.999999999999,0.0,,000069.XSHE-B00094,,,,day1_plus,pending forward buys merged into new batch
2024-04-03 09:37:00,2024-04-03,300142.XSHE,buy_attempt_fill,100,15.91,1591.0,0.0,,,,300142.XSHE-FTB-00045,,day1_plus,
2024-04-03 09:40:00,2024-04-03,300142.XSHE,buy_attempt_fill,100,15.87,1587.0,0.0,,,,300142.XSHE-FTB-00046,,day1_plus,
2024-04-03 09:45:00,2024-04-03,000069.XSHE,buy_attempt_fill,300,2.68,804.0,0.0,,,,000069.XSHE-FTB-00047,,day1_plus,
2024-04-03 09:49:00,2024-04-03,600085.XSHG,buy_attempt_fill,100,41.07,4107.0,0.0,,,,600085.XSHG-FTB-00048,,day1_plus,
2024-04-03 09:49:00,2024-04-03,300122.XSHE,buy_attempt_fill,100,46.15,4615.0,0.0,,,,300122.XSHE-FTB-00049,,day1_plus,
2024-04-03 09:52:00,2024-04-03,000069.XSHE,buy_attempt_fill,300,2.67,801.0,0.0,,,,000069.XSHE-FTB-00050,,day1_plus,
2024-04-03 09:52:00,2024-04-03,300142.XSHE,buy_attempt_fill,100,15.89,1589.0,0.0,,,,300142.XSHE-FTB-00051,,day1_plus,
2024-04-03 10:13:00,2024-04-03,600030.XSHG,buy_attempt_fill,100,19.13,1913.0,0.0,,,,600030.XSHG-FTB-00052,,day1_plus,
2024-04-03 10:27:00,2024-04-03,000069.XSHE,buy_attempt_fill,300,2.67,801.0,0.0,,,,000069.XSHE-FTB-00053,,day1_plus,
2024-04-03 10:27:00,2024-04-03,600030.XSHG,buy_attempt_fill,100,19.16,1916.0,0.0,,,,600030.XSHG-FTB-00054,,day1_plus,
2024-04-03 10:33:00,2024-04-03,000069.XSHE,buy_attempt_fill,300,2.67,801.0,0.0,,,,000069.XSHE-FTB-00055,,day1_plus,
2024-04-03 13:02:00,2024-04-03,000069.XSHE,buy_attempt_fill,200,2.69,538.0,0.0,,,,000069.XSHE-FTB-00057,,day1_plus,
2024-04-03 13:10:00,2024-04-03,000069.XSHE,buy_attempt_fill,200,2.67,534.0,0.0,,,,000069.XSHE-FTB-00058,,day1_plus,
2024-04-03 13:13:00,2024-04-03,000069.XSHE,buy_attempt_fill,200,2.67,534.0,0.0,,,,000069.XSHE-FTB-00059,,day1_plus,
2024-04-03 13:15:00,2024-04-03,000069.XSHE,buy_attempt_fill,200,2.67,534.0,0.0,,,,000069.XSHE-FTB-00060,,day1_plus,
2024-04-03 13:23:00,2024-04-03,000069.XSHE,buy_attempt_fill,200,2.67,534.0,0.0,,,,000069.XSHE-FTB-00061,,day1_plus,
2024-04-03 13:29:00,2024-04-03,000069.XSHE,buy_attempt_fill,200,2.67,534.0,0.0,,,,000069.XSHE-FTB-00062,,day1_plus,
2024-04-03 13:33:00,2024-04-03,300142.XSHE,buy_attempt_fill,100,15.8,1580.0,0.0,,,,300142.XSHE-FTB-00063,,day1_plus,
2024-04-03 15:30:00,2024-04-03,000069.XSHE,carryover_batch_created,2400,2.6729166666666666,6415.0,0.0,,000069.XSHE-B00122,,,,day1_plus,pending forward buys merged into new batch
2024-04-03 15:30:00,2024-04-03,600085.XSHG,carryover_batch_created,100,41.07,4107.0,0.0,,600085.XSHG-B00127,,,,day1_plus,pending forward buys merged into new batch
2024-04-03 15:30:00,2024-04-03,300122.XSHE,carryover_batch_created,100,46.15,4615.0,0.0,,300122.XSHE-B00131,,,,day1_plus,pending forward buys merged into new batch
2024-04-03 15:30:00,2024-04-03,300142.XSHE,carryover_batch_created,400,15.8675,6347.0,0.0,,300142.XSHE-B00132,,,,day1_plus,pending forward buys merged into new batch
2024-04-03 15:30:00,2024-04-03,600030.XSHG,carryover_batch_created,200,19.145,3829.0,0.0,,600030.XSHG-B00137,,,,day1_plus,pending forward buys merged into new batch
2024-04-08 09:40:00,2024-04-08,300122.XSHE,buy_attempt_fill,100,44.24,4424.0,0.0,,,,300122.XSHE-FTB-00064,,day1_plus,
2024-04-08 09:41:00,2024-04-08,600085.XSHG,buy_attempt_fill,100,40.81,4081.0,0.0,,,,600085.XSHG-FTB-00065,,day1_plus,
2024-04-08 13:14:00,2024-04-08,000069.XSHE,buy_attempt_fill,200,2.72,544.0,0.0,,,,000069.XSHE-FTB-00066,,day1_plus,
2024-04-08 13:39:00,2024-04-08,300122.XSHE,buy_attempt_fill,100,44.02,4402.0,0.0,,,,300122.XSHE-FTB-00067,,day1_plus,
