dt,trade_date,order_book_id,event_type,quantity,price,cash_value,realized_pnl,layer,batch_id,sub_id,pending_id,stage,source,note
2026-03-03 09:40:00,2026-03-03,600315.XSHG,buy_attempt_fill,100,21.84,2184.0,0.0,,,,600315.XSHG-FTB-00001,,day0,
2026-03-03 09:54:00,2026-03-03,600887.XSHG,buy_attempt_fill,100,25.95,2595.0,0.0,,,,600887.XSHG-FTB-00002,,day0,
2026-03-03 09:59:00,2026-03-03,600000.XSHG,buy_attempt_fill,100,9.64,964.0,0.0,,,,600000.XSHG-FTB-00003,,day0,
2026-03-03 10:00:00,2026-03-03,300122.XSHE,buy_attempt_fill,100,16.37,1637.0,0.0,,,,300122.XSHE-FTB-00004,,day0,
2026-03-03 10:18:00,2026-03-03,600085.XSHG,buy_attempt_fill,100,30.39,3039.0,0.0,,,,600085.XSHG-FTB-00005,,day0,
2026-03-03 13:02:00,2026-03-03,600315.XSHG,buy_attempt_fill,100,21.3,2130.0,0.0,,,,600315.XSHG-FTB-00006,,day0,
2026-03-03 13:03:00,2026-03-03,300122.XSHE,buy_attempt_fill,100,16.22,1622.0,0.0,,,,300122.XSHE-FTB-00007,,day0,
2026-03-03 13:18:00,2026-03-03,600315.XSHG,buy_attempt_fill,100,21.32,2132.0,0.0,,,,600315.XSHG-FTB-00008,,day0,
2026-03-03 13:22:00,2026-03-03,600000.XSHG,buy_attempt_fill,100,9.76,976.0,0.0,,,,600000.XSHG-FTB-00009,,day0,
2026-03-03 13:22:00,2026-03-03,600085.XSHG,buy_attempt_fill,100,30.52,3052.0,0.0,,,,600085.XSHG-FTB-00010,,day0,
2026-03-03 13:22:00,2026-03-03,600887.XSHG,buy_attempt_fill,100,26.1,2610.0,0.0,,,,600887.XSHG-FTB-00011,,day0,
2026-03-03 13:23:00,2026-03-03,600161.XSHG,buy_attempt_fill,100,16.15,1614.9999999999998,0.0,,,,600161.XSHG-FTB-00012,,day0,
2026-03-03 15:30:00,2026-03-03,600887.XSHG,carryover_batch_created,200,26.025,5205.0,0.0,,600887.XSHG-B00004,,,,day0,pending forward buys merged into new batch
2026-03-03 15:30:00,2026-03-03,600315.XSHG,carryover_batch_created,300,21.486666666666668,6446.0,0.0,,600315.XSHG-B00006,,,,day0,pending forward buys merged into new batch
2026-03-03 15:30:00,2026-03-03,600085.XSHG,carryover_batch_created,200,30.455,6091.0,0.0,,600085.XSHG-B00015,,,,day0,pending forward buys merged into new batch
2026-03-03 15:30:00,2026-03-03,600161.XSHG,carryover_batch_created,100,16.15,1614.9999999999998,0.0,,600161.XSHG-B00018,,,,day0,pending forward buys merged into new batch
2026-03-03 15:30:00,2026-03-03,300122.XSHE,carryover_batch_created,200,16.295,3259.0000000000005,0.0,,300122.XSHE-B00019,,,,day0,pending forward buys merged into new batch
2026-03-03 15:30:00,2026-03-03,600000.XSHG,carryover_batch_created,200,9.7,1939.9999999999998,0.0,,600000.XSHG-B00028,,,,day0,pending forward buys merged into new batch
2026-03-04 09:39:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.38,1138.0,0.0,,,,300142.XSHE-FTB-00013,,day0,
2026-03-04 09:42:00,2026-03-04,600161.XSHG,buy_attempt_fill,100,15.76,1576.0,0.0,,,,600161.XSHG-FTB-00014,,day1_plus,
2026-03-04 09:42:00,2026-03-04,600315.XSHG,buy_attempt_fill,100,21.15,2115.0,0.0,,,,600315.XSHG-FTB-00015,,day1_plus,
2026-03-04 09:43:00,2026-03-04,600000.XSHG,buy_attempt_fill,100,9.53,952.9999999999999,0.0,,,,600000.XSHG-FTB-00016,,day1_plus,
2026-03-04 09:47:00,2026-03-04,600138.XSHG,buy_attempt_fill,100,9.44,944.0,0.0,,,,600138.XSHG-FTB-00017,,day0,
2026-03-04 09:49:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.42,1142.0,0.0,,,,300142.XSHE-FTB-00018,,day0,
2026-03-04 09:53:00,2026-03-04,600315.XSHG,buy_attempt_fill,100,21.16,2116.0,0.0,,,,600315.XSHG-FTB-00019,,day1_plus,
2026-03-04 10:02:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.42,1142.0,0.0,,,,300142.XSHE-FTB-00020,,day0,
2026-03-04 10:08:00,2026-03-04,600887.XSHG,buy_attempt_fill,100,25.67,2567.0,0.0,,,,600887.XSHG-FTB-00021,,day1_plus,
2026-03-04 10:14:00,2026-03-04,300122.XSHE,buy_attempt_fill,100,15.87,1587.0,0.0,,,,300122.XSHE-FTB-00022,,day1_plus,
2026-03-04 10:23:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.4,1140.0,0.0,,,,300142.XSHE-FTB-00023,,day0,
2026-03-04 13:07:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.26,1126.0,0.0,,,,300142.XSHE-FTB-00024,,day0,
2026-03-04 13:09:00,2026-03-04,600000.XSHG,buy_attempt_fill,100,9.5,950.0,0.0,,,,600000.XSHG-FTB-00025,,day1_plus,
2026-03-04 13:27:00,2026-03-04,600000.XSHG,buy_attempt_fill,100,9.58,958.0,0.0,,,,600000.XSHG-FTB-00026,,day1_plus,
2026-03-04 13:38:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.32,1132.0,0.0,,,,300142.XSHE-FTB-00027,,day0,
2026-03-04 13:47:00,2026-03-04,300142.XSHE,buy_attempt_fill,100,11.33,1133.0,0.0,,,,300142.XSHE-FTB-00028,,day0,
