date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2026-03-25,600332.XSHG,白云山,200.0,23.27,25.265,4654.0
2026-03-25,600059.XSHG,古越龙山,800.0,8.83,8.7413,7064.0
2026-03-25,600535.XSHG,天士力,200.0,13.77,13.61,2754.0
2026-03-26,600315.XSHG,上海家化,700.0,20.66,20.7854,14462.0
2026-03-26,600887.XSHG,伊利股份,1200.0,25.95,26.138,31140.0
2026-03-26,600000.XSHG,浦发银行,2800.0,10.06,9.993,28168.0
2026-03-26,300122.XSHE,智飞生物,3100.0,14.78,15.881,45818.0
2026-03-26,600085.XSHG,同仁堂,600.0,28.34,29.506,17004.0
2026-03-26,600161.XSHG,天坛生物,1400.0,14.96,15.753,20944.0
2026-03-26,300142.XSHE,沃森生物,800.0,11.62,11.6686,9296.0
2026-03-26,600138.XSHG,中青旅,1500.0,9.15,9.1946,13725.0
2026-03-26,600030.XSHG,中信证券,1600.0,24.13,25.3169,38608.0
2026-03-26,600016.XSHG,民生银行,2500.0,3.84,3.841,9600.0
2026-03-26,000069.XSHE,华侨城A,8900.0,2.18,2.3149,19402.0
2026-03-26,600332.XSHG,白云山,200.0,22.8,25.265,4560.0
2026-03-26,600059.XSHG,古越龙山,900.0,8.78,8.7511,7902.0
2026-03-26,600535.XSHG,天士力,200.0,13.78,13.61,2756.0
2026-03-27,600315.XSHG,上海家化,700.0,20.59,20.7854,14413.0
2026-03-27,600887.XSHG,伊利股份,1300.0,26.16,26.1243,34008.0
2026-03-27,600000.XSHG,浦发银行,2900.0,10.02,9.995,29058.0
2026-03-27,300122.XSHE,智飞生物,3100.0,15.12,15.881,46872.0
2026-03-27,600085.XSHG,同仁堂,600.0,28.28,29.506,16968.0
2026-03-27,600161.XSHG,天坛生物,1400.0,15.11,15.753,21154.0
2026-03-27,300142.XSHE,沃森生物,800.0,12.06,11.6686,9648.0
2026-03-27,600138.XSHG,中青旅,1700.0,9.19,9.1858,15623.0
2026-03-27,600030.XSHG,中信证券,1800.0,24.26,25.1928,43668.0
2026-03-27,600016.XSHG,民生银行,3100.0,3.83,3.8382,11873.0
2026-03-27,000069.XSHE,华侨城A,8900.0,2.2,2.3149,19580.0
2026-03-27,600332.XSHG,白云山,200.0,22.96,25.265,4592.0
2026-03-27,600059.XSHG,古越龙山,1100.0,8.85,8.7609,9735.0
2026-03-27,600535.XSHG,天士力,200.0,14.54,13.61,2908.0
